,Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade,data,NM_LOCALIDADE,LAT,LONG,ALT
6483,312230 Divinópolis,1,1,1360.25,1307.01,0.0,0.0,53.24,0.0,0,1360.25,1360.25,7,7.0,0,0.0,2018-05-01 00:01:00,DIVINÓPOLIS,-20.142073974582,-44.8938855338723,739.165326
6484,312410 Esmeraldas,9,9,4556.89,4313.89,0.0,0.0,243.0,0.0,0,506.32,506.32,23,2.6,0,0.0,2018-05-01 00:01:00,ESMERALDAS,-19.7592007437738,-44.3148069192277,752.503676
6485,312420 Espera Feliz,2,2,1174.74,1100.1,0.0,0.0,74.64,0.0,0,587.37,587.37,16,8.0,0,0.0,2018-05-01 00:01:00,ESPERA FELIZ,-20.6437078083015,-41.9139350169683,750.116822
6486,312560 Felisburgo,4,4,1932.76,1829.92,0.0,0.0,102.84,0.0,0,483.19,483.19,10,2.5,0,0.0,2018-05-01 00:01:00,FELISBURGO,-16.6383331500748,-40.7585704995432,643.004414
6487,312670 Francisco Sá,3,3,1509.57,1432.44,0.0,0.0,77.13,0.0,0,503.19,503.19,9,3.0,0,0.0,2018-05-01 00:01:00,FRANCISCO SÁ,-16.4756808656879,-43.488735281491,652.632034
6488,312760 Gouveia,1,1,495.19,469.48,0.0,0.0,25.71,0.0,0,495.19,495.19,2,2.0,0,0.0,2018-05-01 00:01:00,GOUVEIA,-18.4429725027128,-43.7339867457722,1080.667693
6489,312770 Governador Valadares,4,4,3166.24,3006.46,0.0,0.0,159.78,0.0,0,791.56,791.56,18,4.5,0,0.0,2018-05-01 00:01:00,GOVERNADOR VALADARES,-18.8528824033103,-41.9470813340288,173.146641
6490,312780 Grão Mogol,3,3,1777.99,1673.77,0.0,0.0,104.22,0.0,0,592.66,592.66,26,8.7,0,0.0,2018-05-01 00:01:00,GRÃO MOGOL,-16.5664951547914,-42.888012880146,774.323686
6491,312800 Guanhães,2,2,974.38,922.96,0.0,0.0,51.42,0.0,0,487.19,487.19,2,1.0,0,0.0,2018-05-01 00:01:00,GUANHÃES,-18.777150790233,-42.9370490952478,781.812458
6492,312840 Guarani,2,2,982.38,930.96,0.0,0.0,51.42,0.0,0,491.19,491.19,6,3.0,0,0.0,2018-05-01 00:01:00,GUARANI,-21.3626691859301,-43.0464566840078,417.313804
6493,312860 Guarda-Mor,1,1,479.19,453.48,0.0,0.0,25.71,0.0,0,479.19,479.19,3,3.0,0,0.0,2018-05-01 00:01:00,GUARDA-MOR,-17.7712998977844,-47.1010758534975,610.39488
6494,312980 Ibirité,10,10,5008.02,4743.18,0.0,0.0,264.84,0.0,0,500.8,500.8,30,3.0,0,0.0,2018-05-01 00:01:00,IBIRITÉ,-20.0280377506555,-44.0566646387867,894.314423
6495,313090 Inhapim,9,9,5011.36,4779.97,0.0,0.0,231.39,0.0,0,556.82,556.82,20,2.2,0,0.0,2018-05-01 00:01:00,INHAPIM,-19.5501147218179,-42.1219309349806,479.528983
6496,313130 Ipatinga,8,8,5075.63,4783.57,0.0,0.0,292.06,0.0,0,634.45,634.45,44,5.5,0,0.0,2018-05-01 00:01:00,IPATINGA,-19.481032097265,-42.5203511114107,241.699093
6497,313170 Itabira,3,3,1762.83,1685.7,0.0,0.0,77.13,0.0,0,587.61,587.61,6,2.0,0,0.0,2018-05-01 00:01:00,ITABIRA,-19.6381694925835,-43.2239516190304,783.410707
6498,313180 Itabirinha,2,2,990.38,938.96,0.0,0.0,51.42,0.0,0,495.19,495.19,4,2.0,0,0.0,2018-05-01 00:01:00,ITABIRINHA,-18.5567992809294,-41.2331827152783,342.229954
6499,313190 Itabirito,1,1,487.19,461.48,0.0,0.0,25.71,0.0,0,487.19,487.19,1,1.0,0,0.0,2018-05-01 00:01:00,ITABIRITO,-20.2541765124384,-43.8021429838628,850.131423
6500,313210 Itacarambi,1,1,503.19,477.48,0.0,0.0,25.71,0.0,0,503.19,503.19,3,3.0,0,0.0,2018-05-01 00:01:00,ITACARAMBI,-15.102641864892,-44.0931858020531,458.596739
6501,313250 Itamarandiba,5,5,2435.95,2307.4,0.0,0.0,128.55,0.0,0,487.19,487.19,7,1.4,0,0.0,2018-05-01 00:01:00,ITAMARANDIBA,-17.8585173258274,-42.8491577569261,949.664988
6502,313270 Itambacuri,2,2,982.38,930.96,0.0,0.0,51.42,0.0,0,491.19,491.19,6,3.0,0,0.0,2018-05-01 00:01:00,ITAMBACURI,-18.0343299628962,-41.6822673820424,302.611921
6503,313330 Itaobim,1,1,495.19,469.48,0.0,0.0,25.71,0.0,0,495.19,495.19,2,2.0,0,0.0,2018-05-01 00:01:00,ITAOBIM,-16.5595259169948,-41.4989769803723,256.612608
6504,313380 Itaúna,1,1,511.19,485.48,0.0,0.0,25.71,0.0,0,511.19,511.19,4,4.0,0,0.0,2018-05-01 00:01:00,ITAÚNA,-20.0744355868074,-44.5782765780477,837.119334
6505,313440 Iturama,3,3,1477.57,1400.44,0.0,0.0,77.13,0.0,0,492.52,492.52,5,1.7,0,0.0,2018-05-01 00:01:00,ITURAMA,-19.7319475242371,-50.2019735753731,438.971572
6506,313460 Jaboticatubas,2,2,982.38,930.96,0.0,0.0,51.42,0.0,0,491.19,491.19,4,2.0,0,0.0,2018-05-01 00:01:00,JABOTICATUBAS,-19.5222886181808,-43.7473336329577,739.082604
6507,313470 Jacinto,7,7,3398.33,3218.36,0.0,0.0,179.97,0.0,0,485.48,485.48,10,1.4,0,0.0,2018-05-01 00:01:00,JACINTO,-16.1411618529223,-40.2914288341066,168.369938
6508,313520 Januária,2,2,982.38,930.96,0.0,0.0,51.42,0.0,0,491.19,491.19,9,4.5,0,0.0,2018-05-01 00:01:00,JANUÁRIA,-15.4878728139879,-44.3598053349032,458.705218
6509,313620 João Monlevade,3,3,1763.39,1678.52,0.0,0.0,84.87,0.0,0,587.8,587.8,20,6.7,0,0.0,2018-05-01 00:01:00,JOÃO MONLEVADE,-19.8056386938267,-43.1745712712595,793.398988
6510,313650 Jordânia,1,1,503.19,477.48,0.0,0.0,25.71,0.0,0,503.19,503.19,3,3.0,0,0.0,2018-05-01 00:01:00,JORDÂNIA,-15.9010651064361,-40.1800141591305,182.464526
6511,313670 Juiz de Fora,16,16,14504.64,13289.65,0.0,0.0,1214.99,0.0,0,906.54,906.54,58,3.6,0,0.0,2018-05-01 00:01:00,JUIZ DE FORA,-21.7609243086743,-43.3488172724747,695.251026
6512,313700 Ladainha,2,2,958.38,906.96,0.0,0.0,51.42,0.0,0,479.19,479.19,8,4.0,0,0.0,2018-05-01 00:01:00,LADAINHA,-17.6244796696875,-41.740449939658,497.246778
6513,313760 Lagoa Santa,3,3,1437.57,1360.44,0.0,0.0,77.13,0.0,0,479.19,479.19,9,3.0,0,0.0,2018-05-01 00:01:00,LAGOA SANTA,-19.6258505201125,-43.8952876969413,767.49279
6514,313760 Lagoa Santa,3,3,1437.57,1360.44,0.0,0.0,77.13,0.0,0,479.19,479.19,9,3.0,0,0.0,2018-05-01 00:01:00,LAGOA SANTA,-19.1836069808173,-51.4046158469187,390.848551
6515,313820 Lavras,3,3,5972.05,5222.48,0.0,0.0,749.57,0.0,0,1990.68,1990.68,36,12.0,0,0.0,2018-05-01 00:01:00,LAVRAS,-21.2428702373008,-44.9999311091152,914.222005
6516,313880 Luz,2,2,958.38,906.96,0.0,0.0,51.42,0.0,0,479.19,479.19,6,3.0,0,0.0,2018-05-01 00:01:00,LUZ,-19.7962466218588,-45.6838812680545,663.733692
6517,313890 Machacalis,8,8,4033.52,3827.84,0.0,0.0,205.68,0.0,0,504.19,504.19,33,4.1,0,0.0,2018-05-01 00:01:00,MACHACALIS,-17.0773703528882,-40.7204221322494,319.371777
6518,313900 Machado,1,1,598.42,520.07,0.0,0.0,78.35,0.0,0,598.42,598.42,2,2.0,0,0.0,2018-05-01 00:01:00,MACHADO,-9.69234226238283,-37.3493861648541,160.074638
6519,313900 Machado,1,1,598.42,520.07,0.0,0.0,78.35,0.0,0,598.42,598.42,2,2.0,0,0.0,2018-05-01 00:01:00,MACHADO,-17.1449314395341,-43.2289770202556,913.004392
6520,313900 Machado,1,1,598.42,520.07,0.0,0.0,78.35,0.0,0,598.42,598.42,2,2.0,0,0.0,2018-05-01 00:01:00,MACHADO,-21.6783538964701,-45.9217640832215,847.208011
6521,313920 Malacacheta,9,9,4428.71,4197.32,0.0,0.0,231.39,0.0,0,492.08,492.08,22,2.4,1,11.11,2018-05-01 00:01:00,MALACACHETA,-17.8416225399766,-42.0760767010133,712.180603
6522,313940 Manhuaçu,3,3,1655.23,1574.23,0.0,0.0,81.0,0.0,0,551.74,551.74,12,4.0,0,0.0,2018-05-01 00:01:00,MANHUAÇU,-20.2586800832824,-42.0338482904372,636.81319
6523,313990 Maria da Fé,2,2,1014.38,962.96,0.0,0.0,51.42,0.0,0,507.19,507.19,7,3.5,0,0.0,2018-05-01 00:01:00,MARIA DA FÉ,-22.3072187775991,-45.371053690755,1259.704855
6524,314140 Medina,3,3,1485.57,1408.44,0.0,0.0,77.13,0.0,0,495.19,495.19,9,3.0,0,0.0,2018-05-01 00:01:00,MEDINA,-16.2247956209704,-41.47630906692,580.957852
6525,314150 Mendes Pimentel,6,6,2875.14,2720.88,0.0,0.0,154.26,0.0,0,479.19,479.19,13,2.2,0,0.0,2018-05-01 00:01:00,MENDES PIMENTEL,-18.661777740612,-41.4056151686685,322.282461
6526,314160 Mercês,1,1,511.19,485.48,0.0,0.0,25.71,0.0,0,511.19,511.19,4,4.0,0,0.0,2018-05-01 00:01:00,MERCÊS,-21.1920649246761,-43.3410701613993,531.067387
6527,314180 Minas Novas,4,4,1948.76,1845.92,0.0,0.0,102.84,0.0,0,487.19,487.19,7,1.8,0,0.0,2018-05-01 00:01:00,MINAS NOVAS,-17.2154581636337,-42.5967587107471,496.344869
6528,314200 Mirabela,7,7,3482.53,3302.56,0.0,0.0,179.97,0.0,0,497.5,497.5,19,2.7,0,0.0,2018-05-01 00:01:00,MIRABELA,-16.2584529385286,-44.1606437772011,807.494023
6529,314220 Miraí,2,2,958.38,906.96,0.0,0.0,51.42,0.0,0,479.19,479.19,7,3.5,0,0.0,2018-05-01 00:01:00,MIRAÍ,-21.1939817415147,-42.6160395902808,350.203793
6530,314260 Monsenhor Paulo,3,3,1493.57,1416.44,0.0,0.0,77.13,0.0,0,497.86,497.86,15,5.0,0,0.0,2018-05-01 00:01:00,MONSENHOR PAULO,-21.7617721380659,-45.5450741387173,857.227246
6531,314270 Montalvânia,12,12,5894.28,5585.76,0.0,0.0,308.52,0.0,0,491.19,491.19,29,2.4,0,0.0,2018-05-01 00:01:00,MONTALVÂNIA,-14.4203647785697,-44.3636205825571,500.058212
6532,314310 Monte Carmelo,3,3,1509.57,1432.44,0.0,0.0,77.13,0.0,0,503.19,503.19,9,3.0,0,0.0,2018-05-01 00:01:00,MONTE CARMELO,-18.7290384400921,-47.4959724312194,878.591777
6533,314330 Montes Claros,7,7,2992.92,2749.32,0.0,0.0,243.6,0.0,0,427.56,427.56,15,2.1,0,0.0,2018-05-01 00:01:00,MONTES CLAROS,-16.7227066399838,-43.8654224343832,643.399946
6534,314390 Muriaé,3,3,1581.3,1496.46,0.0,0.0,84.84,0.0,0,527.1,527.1,4,1.3,0,0.0,2018-05-01 00:01:00,MURIAÉ,-21.1320467915102,-42.3610748978923,202.422773
6535,314400 Mutum,13,13,6549.47,6215.24,0.0,0.0,334.23,0.0,0,503.81,503.81,42,3.2,0,0.0,2018-05-01 00:01:00,MUTUM,-19.8071892243168,-41.4391385240539,251.854638
6536,314460 Nepomuceno,4,4,1988.76,1885.92,0.0,0.0,102.84,0.0,0,497.19,497.19,9,2.3,0,0.0,2018-05-01 00:01:00,NEPOMUCENO,-21.2345769350247,-45.237429119816,856.938224
6537,314470 Nova Era,1,1,479.19,453.48,0.0,0.0,25.71,0.0,0,479.19,479.19,2,2.0,0,0.0,2018-05-01 00:01:00,NOVA ERA,-19.7644230686327,-43.0354568497189,531.542076
6538,314480 Nova Lima,3,3,1567.27,1466.92,0.0,0.0,100.35,0.0,0,522.42,522.42,18,6.0,0,0.0,2018-05-01 00:01:00,NOVA LIMA,-19.9838929938666,-43.8497833626163,792.081487
6539,314500 Nova Ponte,2,2,1094.38,1042.96,0.0,0.0,51.42,0.0,0,547.19,547.19,17,8.5,0,0.0,2018-05-01 00:01:00,NOVA PONTE,-19.1688916492638,-47.670570749698,945.22172
6540,314510 Nova Resende,1,1,479.19,453.48,0.0,0.0,25.71,0.0,0,479.19,479.19,2,2.0,0,0.0,2018-05-01 00:01:00,NOVA RESENDE,-21.1266519125721,-46.4170291046065,1125.166247
6541,314520 Nova Serrana,1,1,479.19,453.48,0.0,0.0,25.71,0.0,0,479.19,479.19,2,2.0,0,0.0,2018-05-01 00:01:00,NOVA SERRANA,-19.875867380562,-44.9855787363319,738.494373
6542,314530 Novo Cruzeiro,4,4,1916.76,1813.92,0.0,0.0,102.84,0.0,0,479.19,479.19,10,2.5,0,0.0,2018-05-01 00:01:00,NOVO CRUZEIRO,-17.4748888552055,-41.8753915421219,785.47346
6543,314560 Oliveira,5,5,2302.07,2159.65,0.0,0.0,142.42,0.0,0,460.41,460.41,23,4.6,0,0.0,2018-05-01 00:01:00,OLIVEIRA,-20.6975157761844,-44.826410866482,985.582836
6544,314610 Ouro Preto,3,3,1537.65,1460.52,0.0,0.0,77.13,0.0,0,512.55,512.55,11,3.7,0,0.0,2018-05-01 00:01:00,OURO PRETO,-20.3867763678658,-43.5064475197137,1086.538935
6545,314630 Padre Paraíso,3,3,1493.57,1416.44,0.0,0.0,77.13,0.0,0,497.86,497.86,12,4.0,0,0.0,2018-05-01 00:01:00,PADRE PARAÍSO,-17.076318651422,-41.4849648092247,662.777364
6546,314710 Pará de Minas,1,1,615.02,584.17,0.0,0.0,30.85,0.0,0,615.02,615.02,3,3.0,0,0.0,2018-05-01 00:01:00,PARÁ DE MINAS,-19.8647379639463,-44.6053801878937,803.711403
6547,314700 Paracatu,2,2,1022.38,970.96,0.0,0.0,51.42,0.0,0,511.19,511.19,8,4.0,0,0.0,2018-05-01 00:01:00,PARACATU,-17.219741910187,-46.8754188909564,703.852112
6548,314760 Passa Quatro,1,1,479.19,453.48,0.0,0.0,25.71,0.0,0,479.19,479.19,2,2.0,0,0.0,2018-05-01 00:01:00,PASSA QUATRO,-22.3897981316188,-44.9696386730973,984.825046
6549,314800 Patos de Minas,1,1,808.01,782.3,0.0,0.0,25.71,0.0,0,808.01,808.01,7,7.0,0,0.0,2018-05-01 00:01:00,PATOS DE MINAS,-18.5925708199234,-46.5159156766059,836.073758
6550,314810 Patrocínio,3,3,1554.97,1473.97,0.0,0.0,81.0,0.0,0,518.32,518.32,13,4.3,0,0.0,2018-05-01 00:01:00,PATROCÍNIO,-4.69222222702963,-44.3300325902118,131.999917
6551,314810 Patrocínio,3,3,1554.97,1473.97,0.0,0.0,81.0,0.0,0,518.32,518.32,13,4.3,0,0.0,2018-05-01 00:01:00,PATROCÍNIO,-18.9408129613497,-46.9974382401645,950.581414
6552,314870 Pedra Azul,1,1,487.19,461.48,0.0,0.0,25.71,0.0,0,487.19,487.19,1,1.0,0,0.0,2018-05-01 00:01:00,PEDRA AZUL,-16.0059227890656,-41.2817519782488,620.455893
6553,314930 Pedro Leopoldo,1,1,487.19,461.48,0.0,0.0,25.71,0.0,0,487.19,487.19,1,1.0,0,0.0,2018-05-01 00:01:00,PEDRO LEOPOLDO,-19.6183958909548,-44.045883960309,714.061188
6554,314980 Perdizes,7,7,3354.33,3174.36,0.0,0.0,179.97,0.0,0,479.19,479.19,21,3.0,0,0.0,2018-05-01 00:01:00,PERDIZES,-19.3386575248866,-47.2920084470812,1084.333429
6555,314990 Perdões,1,1,511.19,485.48,0.0,0.0,25.71,0.0,0,511.19,511.19,4,4.0,0,0.0,2018-05-01 00:01:00,PERDÕES,-21.0945188675979,-45.0930878294041,817.733501
6556,315080 Piranga,3,3,1445.57,1368.44,0.0,0.0,77.13,0.0,0,481.86,481.86,13,4.3,0,0.0,2018-05-01 00:01:00,PIRANGA,-20.6851438161544,-43.2873455533564,732.354664
6557,315110 Pirapetinga,1,1,479.19,453.48,0.0,0.0,25.71,0.0,0,479.19,479.19,3,3.0,0,0.0,2018-05-01 00:01:00,PIRAPETINGA,-21.6559720071799,-42.3484310466426,165.8808
6558,315120 Pirapora,2,2,1041.43,990.01,0.0,0.0,51.42,0.0,0,520.72,520.72,8,4.0,0,0.0,2018-05-01 00:01:00,PIRAPORA,-17.3495820956098,-44.9510653804875,491.939909
6559,315140 Pitangui,2,2,1033.06,981.64,0.0,0.0,51.42,0.0,0,516.53,516.53,7,3.5,0,0.0,2018-05-01 00:01:00,PITANGUI,-19.6805972412923,-44.8901188906692,716.372702
6560,315170 Poço Fundo,1,1,479.19,453.48,0.0,0.0,25.71,0.0,0,479.19,479.19,2,2.0,0,0.0,2018-05-01 00:01:00,POÇO FUNDO,-21.7846925499932,-45.9649695631605,856.161391
6561,315180 Poços de Caldas,1,1,742.78,704.22,0.0,0.0,38.56,0.0,0,742.78,742.78,2,2.0,0,0.0,2018-05-01 00:01:00,POÇOS DE CALDAS,-21.7873635785949,-46.5664100449604,1199.440439
6562,315200 Pompéu,1,1,495.19,469.48,0.0,0.0,25.71,0.0,0,495.19,495.19,2,2.0,0,0.0,2018-05-01 00:01:00,POMPÉU,-19.2209571770945,-45.0018708585068,670.125471
6563,315220 Porteirinha,1,1,479.19,453.48,0.0,0.0,25.71,0.0,0,479.19,479.19,2,2.0,0,0.0,2018-05-01 00:01:00,PORTEIRINHA,-15.746837727003,-43.0285226494433,566.629069
6564,315240 Poté,4,4,1932.76,1829.92,0.0,0.0,102.84,0.0,0,483.19,483.19,11,2.8,0,0.0,2018-05-01 00:01:00,POTÉ,-17.8013694472947,-41.7883855248752,486.722177
6565,315250 Pouso Alegre,1,1,854.98,816.42,0.0,0.0,38.56,0.0,0,854.98,854.98,5,5.0,0,0.0,2018-05-01 00:01:00,POUSO ALEGRE,-22.2303029951548,-45.9371442758265,840.133461
6566,315400 Raul Soares,5,5,2507.95,2379.4,0.0,0.0,128.55,0.0,0,501.59,501.59,17,3.4,0,0.0,2018-05-01 00:01:00,RAUL SOARES,-20.1019588519943,-42.4541675367435,301.999039
6567,315430 Resplendor,4,4,1988.76,1885.92,0.0,0.0,102.84,0.0,0,497.19,497.19,9,2.3,0,0.0,2018-05-01 00:01:00,RESPLENDOR,-19.3254839308532,-41.2539671081682,92.386156
6568,315490 Rio Casca,1,1,559.43,518.24,0.0,0.0,41.19,0.0,0,559.43,559.43,10,10.0,0,0.0,2018-05-01 00:01:00,RIO CASCA,-20.2265128664941,-42.6522301991544,356.651615
6569,315550 Rio Paranaíba,3,3,1525.57,1448.44,0.0,0.0,77.13,0.0,0,508.52,508.52,11,3.7,0,0.0,2018-05-01 00:01:00,RIO PARANAÍBA,-19.191238301813,-46.2427530916275,1076.68839
6570,315560 Rio Pardo de Minas,2,2,998.38,946.96,0.0,0.0,51.42,0.0,0,499.19,499.19,5,2.5,0,0.0,2018-05-01 00:01:00,RIO PARDO DE MINAS,-15.6130780188597,-42.5412319786549,795.873215
6571,315570 Rio Piracicaba,1,1,479.19,453.48,0.0,0.0,25.71,0.0,0,479.19,479.19,2,2.0,0,0.0,2018-05-01 00:01:00,RIO PIRACICABA,-19.9549411680991,-43.1798237456688,624.944568
6572,315580 Rio Pomba,1,1,495.19,469.48,0.0,0.0,25.71,0.0,0,495.19,495.19,2,2.0,0,0.0,2018-05-01 00:01:00,RIO POMBA,-21.2721906098132,-43.1778056454032,441.185836
6573,315590 Rio Preto,4,4,1932.76,1829.92,0.0,0.0,102.84,0.0,0,483.19,483.19,14,3.5,0,0.0,2018-05-01 00:01:00,RIO PRETO,-22.0869222524551,-43.8294656655803,463.223441
6574,315600 Rio Vermelho,6,6,2923.14,2768.88,0.0,0.0,154.26,0.0,0,487.19,487.19,15,2.5,0,0.0,2018-05-01 00:01:00,RIO VERMELHO,-18.3011105692073,-43.0224390980622,721.124789
6575,315670 Sabará,1,1,587.37,550.05,0.0,0.0,37.32,0.0,0,587.37,587.37,9,9.0,0,0.0,2018-05-01 00:01:00,SABARÁ,-19.8924945120897,-43.8255570903302,694.362081
6576,315680 Sabinópolis,7,7,3386.33,3206.36,0.0,0.0,179.97,0.0,0,483.76,483.76,12,1.7,0,0.0,2018-05-01 00:01:00,SABINÓPOLIS,-18.6718146531902,-43.088203642905,734.541115
6577,315690 Sacramento,1,1,55.27,43.65,0.0,0.0,11.62,0.0,0,55.27,55.27,0,0.0,0,0.0,2018-05-01 00:01:00,SACRAMENTO,-19.8635763393531,-47.4365553163875,863.731688
6578,315700 Salinas,3,3,1485.57,1408.44,0.0,0.0,77.13,0.0,0,495.19,495.19,10,3.3,0,0.0,2018-05-01 00:01:00,SALINAS,-16.1698557321158,-42.2935064722757,476.343903
6579,315710 Salto da Divisa,2,2,990.38,938.96,0.0,0.0,51.42,0.0,0,495.19,495.19,4,2.0,0,0.0,2018-05-01 00:01:00,SALTO DA DIVISA,-15.9975707021522,-39.9507560235873,128.01721
6580,315720 Santa Bárbara,3,3,1605.69,1520.82,0.0,0.0,84.87,0.0,0,535.23,535.23,15,5.0,0,0.0,2018-05-01 00:01:00,SANTA BÁRBARA,-11.9569028341388,-38.9661390064385,264.43361
6581,315720 Santa Bárbara,3,3,1605.69,1520.82,0.0,0.0,84.87,0.0,0,535.23,535.23,15,5.0,0,0.0,2018-05-01 00:01:00,SANTA BÁRBARA,-19.9655911927172,-43.4052209879755,757.834174
6582,315930 Santa Rita de Jacutinga,3,3,1493.57,1416.44,0.0,0.0,77.13,0.0,0,497.86,497.86,8,2.7,0,0.0,2018-05-01 00:01:00,SANTA RITA DE JACUTINGA,-22.1484611222255,-44.1004418543942,551.208488
6583,316040 Santo Antônio do Monte,1,1,511.19,485.48,0.0,0.0,25.71,0.0,0,511.19,511.19,4,4.0,0,0.0,2018-05-01 00:01:00,SANTO ANTÔNIO DO MONTE,-20.0872192488794,-45.2939359191445,943.056264
6584,316110 São Francisco,5,5,2507.95,2379.4,0.0,0.0,128.55,0.0,0,501.59,501.59,14,2.8,0,0.0,2018-05-01 00:01:00,SÃO FRANCISCO,-4.55344027851727,-44.9213246548768,48.724375
6585,316110 São Francisco,5,5,2507.95,2379.4,0.0,0.0,128.55,0.0,0,501.59,501.59,14,2.8,0,0.0,2018-05-01 00:01:00,SÃO FRANCISCO,-6.61927998240531,-38.0971412339127,269.453876
6586,316110 São Francisco,5,5,2507.95,2379.4,0.0,0.0,128.55,0.0,0,501.59,501.59,14,2.8,0,0.0,2018-05-01 00:01:00,SÃO FRANCISCO,-10.3464864526782,-36.8862396608894,107.008235
6587,316110 São Francisco,5,5,2507.95,2379.4,0.0,0.0,128.55,0.0,0,501.59,501.59,14,2.8,0,0.0,2018-05-01 00:01:00,SÃO FRANCISCO,-15.9525638055612,-44.8613127423766,473.741325
6588,316110 São Francisco,5,5,2507.95,2379.4,0.0,0.0,128.55,0.0,0,501.59,501.59,14,2.8,0,0.0,2018-05-01 00:01:00,SÃO FRANCISCO,-20.3584138176091,-50.7000971572879,401.30138
6589,316200 São Gonçalo do Sapucaí,1,1,479.19,453.48,0.0,0.0,25.71,0.0,0,479.19,479.19,3,3.0,0,0.0,2018-05-01 00:01:00,SÃO GONÇALO DO SAPUCAÍ,-21.8919051420956,-45.5946377949369,860.910304
6590,316210 São Gotardo,1,1,487.19,461.48,0.0,0.0,25.71,0.0,0,487.19,487.19,2,2.0,0,0.0,2018-05-01 00:01:00,SÃO GOTARDO,-19.3127001913322,-46.0531440401029,1060.392105
6591,316240 São João da Ponte,3,3,1509.57,1432.44,0.0,0.0,77.13,0.0,0,503.19,503.19,9,3.0,0,0.0,2018-05-01 00:01:00,SÃO JOÃO DA PONTE,-15.9245130654992,-44.0089551084967,719.033735
6592,316250 São João del Rei,2,2,1221.3,1160.89,0.0,0.0,60.41,0.0,0,610.65,610.65,6,3.0,0,0.0,2018-05-01 00:01:00,SÃO JOÃO DEL REI,-21.1355089743173,-44.2609727347292,908.329785
6593,316270 São João do Paraíso,1,1,495.19,469.48,0.0,0.0,25.71,0.0,0,495.19,495.19,2,2.0,0,0.0,2018-05-01 00:01:00,SÃO JOÃO DO PARAÍSO,-6.46622228636398,-47.0506104204952,291.953774
6594,316270 São João do Paraíso,1,1,495.19,469.48,0.0,0.0,25.71,0.0,0,495.19,495.19,2,2.0,0,0.0,2018-05-01 00:01:00,SÃO JOÃO DO PARAÍSO,-15.3184380950909,-42.0114224428155,778.470855
6595,316280 São João Evangelista,1,1,511.19,485.48,0.0,0.0,25.71,0.0,0,511.19,511.19,8,8.0,0,0.0,2018-05-01 00:01:00,SÃO JOÃO EVANGELISTA,-18.5451868295064,-42.7760481433917,736.844523
6596,316370 São Lourenço,1,1,487.19,461.48,0.0,0.0,25.71,0.0,0,487.19,487.19,1,1.0,0,0.0,2018-05-01 00:01:00,SÃO LOURENÇO,-22.1177686713602,-45.0533731031446,888.72266
6597,316720 Sete Lagoas,26,26,17988.26,16329.19,0.0,0.0,1659.07,0.0,0,691.86,691.86,82,3.2,0,0.0,2018-05-01 00:01:00,SETE LAGOAS,-19.4582874187508,-44.239594615621,781.567513
6598,316800 Taiobeiras,8,8,3969.52,3763.84,0.0,0.0,205.68,0.0,0,496.19,496.19,20,2.5,0,0.0,2018-05-01 00:01:00,TAIOBEIRAS,-15.8115214376568,-42.2279155455793,821.673104
6599,316860 Teófilo Otoni,1,1,788.3,749.74,0.0,0.0,38.56,0.0,0,788.3,788.3,5,5.0,0,0.0,2018-05-01 00:01:00,TEÓFILO OTONI,-17.862539808014,-41.5096351657897,352.998455
6600,316870 Timóteo,3,3,6928.37,6173.24,0.0,0.0,755.13,0.0,0,2309.46,2309.46,16,5.3,0,0.0,2018-05-01 00:01:00,TIMÓTEO,-19.5840503585078,-42.6439423108068,340.899057
6601,316930 Três Corações,2,2,974.38,922.96,0.0,0.0,51.42,0.0,0,487.19,487.19,4,2.0,0,0.0,2018-05-01 00:01:00,TRÊS CORAÇÕES,-21.6959657769093,-45.254936873167,879.172257
6602,316940 Três Pontas,1,1,541.2,515.49,0.0,0.0,25.71,0.0,0,541.2,541.2,6,6.0,0,0.0,2018-05-01 00:01:00,TRÊS PONTAS,-21.3687699216518,-45.515474797041,898.26559
6603,316970 Turmalina,5,5,2459.95,2331.4,0.0,0.0,128.55,0.0,0,491.99,491.99,12,2.4,0,0.0,2018-05-01 00:01:00,TURMALINA,-17.2864120942752,-42.7304145447903,713.306698
6604,316970 Turmalina,5,5,2459.95,2331.4,0.0,0.0,128.55,0.0,0,491.99,491.99,12,2.4,0,0.0,2018-05-01 00:01:00,TURMALINA,-20.0512686173184,-50.4777294314793,464.959159
6605,316990 Ubá,3,3,4600.6,4112.8,0.0,0.0,487.8,0.0,0,1533.53,1533.53,15,5.0,0,0.0,2018-05-01 00:01:00,UBÁ,-21.1185969514978,-42.936786464392,339.651383
6606,317010 Uberaba,23,23,11546.89,10943.95,0.0,0.0,602.94,0.0,0,502.04,502.04,82,3.6,0,0.0,2018-05-01 00:01:00,UBERABA,-19.7135346071021,-47.9836248955742,777.457503
6607,317020 Uberlândia,40,40,24492.82,23413.02,0.0,0.0,1079.8,0.0,0,612.32,612.32,90,2.3,0,0.0,2018-05-01 00:01:00,UBERLÂNDIA,-18.9189986093056,-48.2779501847345,866.782274
