,Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade,data,NM_LOCALIDADE,LAT,LONG,ALT
43,150020 Acará,1,1,495.19,469.48,0.0,0.0,25.71,0.0,0,495.19,495.19,2,2.0,0,0.0,2018-01-01 00:01:00,ACARÁ,-1.9634365,-48.2004564317501,7.395031
44,150034 Água Azul do Norte,3,3,1453.57,1376.44,0.0,0.0,77.13,0.0,0,484.52,484.52,6,2.0,0,0.0,2018-01-01 00:01:00,ÁGUA AZUL DO NORTE,-6.80494886740538,-50.4852745072531,296.299435
45,150040 Alenquer,1,1,495.19,469.48,0.0,0.0,25.71,0.0,0,495.19,495.19,2,2.0,0,0.0,2018-01-01 00:01:00,ALENQUER,-1.951397505,-54.7408623501896,39.131195
46,150060 Altamira,2,2,990.38,938.96,0.0,0.0,51.42,0.0,0,495.19,495.19,4,2.0,0,0.0,2018-01-01 00:01:00,ALTAMIRA,-3.20565951,-52.2143763052078,104.748288
47,150070 Anajás,1,1,495.19,469.48,0.0,0.0,25.71,0.0,0,495.19,495.19,2,2.0,0,0.0,2018-01-01 00:01:00,ANAJÁS,-0.984451394008702,-49.945001040544,5.001054
48,150080 Ananindeua,32,32,15614.08,14791.36,0.0,0.0,822.72,0.0,0,487.94,487.94,111,3.5,0,0.0,2018-01-01 00:01:00,ANANINDEUA,-1.36871356826946,-48.372066654168,26.564442
49,150085 Anapu,3,3,1469.57,1392.44,0.0,0.0,77.13,0.0,0,489.86,489.86,7,2.3,0,0.0,2018-01-01 00:01:00,ANAPU,-3.47610463506868,-51.2016217984581,56.30874
50,150090 Augusto Corrêa,15,15,7363.85,6978.2,0.0,0.0,385.65,0.0,0,490.92,490.92,45,3.0,0,0.0,2018-01-01 00:01:00,AUGUSTO CORRÊA,-1.02292101,-46.6416457856711,15.987763
51,150095 Aurora do Pará,1,1,479.19,453.48,0.0,0.0,25.71,0.0,0,479.19,479.19,4,4.0,0,0.0,2018-01-01 00:01:00,AURORA DO PARÁ,-2.12937601319444,-47.5561746036128,41.368894
52,150120 Baião,2,2,990.38,938.96,0.0,0.0,51.42,0.0,0,495.19,495.19,4,2.0,0,0.0,2018-01-01 00:01:00,BAIÃO,-2.79196186136136,-49.6727533733253,30.562405
