"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"150530 Oriximiná";1;1;487,19;461,48;-;-;25,71;-;-;487,19;487,19;1;1,0;-;-
"150540 Ourém";2;2;1070,38;1018,96;-;-;51,42;-;-;535,19;535,19;15;7,5;1;50,00
"150543 Ourilândia do Norte";25;25;12075,75;11433,00;-;-;642,75;-;-;483,03;483,03;52;2,1;-;-
"150548 Pacajá";3;3;1493,57;1416,44;-;-;77,13;-;-;497,86;497,86;7;2,3;-;-
"150563 Piçarra";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"150565 Placas";4;4;1956,76;1853,92;-;-;102,84;-;-;489,19;489,19;7;1,8;-;-
"150580 Portel";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"150590 Porto de Moz";4;4;1948,76;1845,92;-;-;102,84;-;-;487,19;487,19;10;2,5;-;-
"150600 Prainha";1;1;487,19;461,48;-;-;25,71;-;-;487,19;487,19;2;2,0;-;-
"150618 Rondon do Pará";23;23;11157,37;10566,04;-;-;591,33;-;-;485,10;485,10;52;2,3;-;-
"150619 Rurópolis";8;8;3833,52;3627,84;-;-;205,68;-;-;479,19;479,19;22;2,8;-;-
"150620 Salinópolis";1;1;511,19;485,48;-;-;25,71;-;-;511,19;511,19;4;4,0;-;-
"150640 Santa Cruz do Arari";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"150650 Santa Izabel do Pará";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;9;9,0;-;-
"150670 Santana do Araguaia";9;9;4415,94;4131,91;-;-;284,03;-;-;490,66;490,66;38;4,2;-;-
"150700 Santo Antônio do Tauá";131;131;63933,89;60565,88;-;-;3368,01;-;-;488,04;488,04;407;3,1;-;-
"150715 São Domingos do Araguaia";8;8;3930,52;3724,84;-;-;205,68;-;-;491,31;491,31;16;2,0;-;-
"150730 São Félix do Xingu";22;22;10606,18;10040,56;-;-;565,62;-;-;482,10;482,10;47;2,1;-;-
"150745 São Geraldo do Araguaia";2;2;704,26;654,45;-;-;49,81;-;-;352,13;352,13;6;3,0;-;-
"150750 São João do Araguaia";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"150770 São Sebastião da Boa Vista";4;4;1916,76;1813,92;-;-;102,84;-;-;479,19;479,19;9;2,3;-;-
"150775 Sapucaia";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"150795 Tailândia";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"150800 Tomé-Açu";1;1;606,42;528,07;-;-;78,35;-;-;606,42;606,42;3;3,0;-;-
"150808 Tucumã";27;27;13494,46;12747,65;-;-;746,81;-;-;499,79;499,79;54;2,0;-;-
"150812 Ulianópolis";18;18;8953,42;8490,64;-;-;462,78;-;-;497,41;497,41;41;2,3;-;-
"150815 Uruará";5;5;2579,18;2397,99;-;-;181,19;-;-;515,84;515,84;11;2,2;1;20,00
"150830 Viseu";2;2;998,38;946,96;-;-;51,42;-;-;499,19;499,19;5;2,5;-;-
"150840 Xinguara";6;6;2091,30;1965,22;-;-;126,08;-;-;348,55;348,55;11;1,8;-;-
"160027 Laranjal do Jari";3;3;1525,57;1448,44;-;-;77,13;-;-;508,52;508,52;11;3,7;-;-
"160030 Macapá";9;9;4753,87;4448,95;-;-;304,92;-;-;528,21;528,21;56;6,2;-;-
"160060 Santana";3;3;1554,93;1477,80;-;-;77,13;-;-;518,31;518,31;11;3,7;-;-
"170200 Araguaçu";4;4;1932,76;1829,92;-;-;102,84;-;-;483,19;483,19;8;2,0;-;-
"170210 Araguaína";1;1;2634,77;2325,48;-;-;309,29;-;-;2634,77;2634,77;4;4,0;-;-
"170230 Arapoema";1;1;487,19;461,48;-;-;25,71;-;-;487,19;487,19;2;2,0;-;-
"170950 Gurupi";5;5;2435,95;2307,40;-;-;128,55;-;-;487,19;487,19;14;2,8;-;-
"171190 Lagoa da Confusão";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;4;4,0;-;-
"171320 Miracema do Tocantins";4;4;1972,76;1869,92;-;-;102,84;-;-;493,19;493,19;9;2,3;-;-
"172100 Palmas";8;8;4086,22;3880,54;-;-;205,68;-;-;510,78;510,78;37;4,6;-;-
"171620 Paranã";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"171660 Peixe";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;10;5,0;-;-
"171820 Porto Nacional";2;2;991,72;940,30;-;-;51,42;-;-;495,86;495,86;7;3,5;-;-
"172120 Tocantinópolis";3;3;1461,57;1384,44;-;-;77,13;-;-;487,19;487,19;1;0,3;-;-
"210005 Açailândia";2;2;990,38;938,96;-;-;51,42;-;-;495,19;495,19;4;2,0;-;-
"210020 Alcântara";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"210030 Aldeias Altas";28;28;14089,32;13369,44;-;-;719,88;-;-;503,19;503,19;84;3,0;-;-
"210043 Alto Alegre do Maranhão";1;1;503,19;477,48;-;-;25,71;-;-;503,19;503,19;3;3,0;-;-
"210047 Alto Alegre do Pindaré";3;3;1485,57;1408,44;-;-;77,13;-;-;495,19;495,19;6;2,0;-;-
"210060 Amarante do Maranhão";4;4;2012,76;1909,92;-;-;102,84;-;-;503,19;503,19;12;3,0;-;-
"210070 Anajatuba";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;1;1,0;-;-
"210080 Anapurus";1;1;487,19;461,48;-;-;25,71;-;-;487,19;487,19;2;2,0;-;-
"210083 Apicum-Açu";3;3;1437,57;1360,44;-;-;77,13;-;-;479,19;479,19;9;3,0;-;-
"210087 Araguanã";4;4;1916,76;1813,92;-;-;102,84;-;-;479,19;479,19;8;2,0;-;-
"210095 Arame";10;10;6094,01;5401,33;-;-;692,68;-;-;609,40;609,40;32;3,2;-;-
"210110 Axixá";3;3;1437,57;1360,44;-;-;77,13;-;-;479,19;479,19;9;3,0;-;-
"210120 Bacabal";2;2;998,38;946,96;-;-;51,42;-;-;499,19;499,19;5;2,5;1;50,00
"210130 Bacuri";1;1;503,19;477,48;-;-;25,71;-;-;503,19;503,19;3;3,0;-;-
"210140 Balsas";1;1;527,19;501,48;-;-;25,71;-;-;527,19;527,19;6;6,0;-;-
"210190 Bequimão";12;12;5942,28;5633,76;-;-;308,52;-;-;495,19;495,19;26;2,2;-;-
"210200 Bom Jardim";4;4;1916,76;1813,92;-;-;102,84;-;-;479,19;479,19;12;3,0;-;-
"210203 Bom Jesus das Selvas";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;4;2,0;-;-
"210210 Brejo";7;7;3410,33;3230,36;-;-;179,97;-;-;487,19;487,19;14;2,0;-;-
"210230 Buriti Bravo";6;6;2971,14;2816,88;-;-;154,26;-;-;495,19;495,19;15;2,5;-;-
"210240 Cajapió";3;3;1469,57;1392,44;-;-;77,13;-;-;489,86;489,86;4;1,3;-;-
"210270 Cantanhede";8;8;3833,52;3627,84;-;-;205,68;-;-;479,19;479,19;22;2,8;-;-
"210300 Caxias";2;2;1348,11;1244,05;-;-;104,06;-;-;674,06;674,06;12;6,0;-;-
"210310 Cedral";3;3;1437,57;1360,44;-;-;77,13;-;-;479,19;479,19;9;3,0;-;-
"210320 Chapadinha";4;4;1948,76;1845,92;-;-;102,84;-;-;487,19;487,19;10;2,5;-;-
"210325 Cidelândia";1;1;487,19;461,48;-;-;25,71;-;-;487,19;487,19;3;3,0;-;-
"210340 Coelho Neto";1;1;487,19;461,48;-;-;25,71;-;-;487,19;487,19;1;1,0;-;-
"210350 Colinas";9;9;4336,71;4105,32;-;-;231,39;-;-;481,86;481,86;26;2,9;-;-
"210370 Cururupu";8;8;3833,52;3627,84;-;-;205,68;-;-;479,19;479,19;22;2,8;-;-
"210380 Dom Pedro";24;24;11764,56;11147,52;-;-;617,04;-;-;490,19;490,19;33;1,4;-;-
"210390 Duque Bacelar";15;15;7427,85;7042,20;-;-;385,65;-;-;495,19;495,19;30;2,0;-;-
"210408 Fernando Falcão";1;1;487,19;461,48;-;-;25,71;-;-;487,19;487,19;-;-;-;-
